Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,11,54,7,-12,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,11,54,7,-12,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,11,54,7,-12,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,11,54,7,-12,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,11,54,8,-11,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,11,54,8,-11,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,11,54,8,-11,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,11,54,8,-11,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,17,367,13,-229,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,17,367,13,-229,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,11,121,19,17,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,17,367,13,-229,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,16,392,17,-103,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,16,392,17,-103,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,9,268,24,21,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,16,392,17,-103,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,123,843,77,1097,46,-254,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,123,843,77,1097,46,-254,antigo-novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,-,-,-,-,-,-,antigo-novo
