Nome TFC,Qtd. Portas,Qtd. Subcircuitos,Tamanho Médio das Janelas,Maior Janela,Menor Janela
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc12-qc31.tfc,12,10,1.2,2,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc10-qc118.tfc,10,6,1.6666666666666667,3,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc9-qc268.tfc,9,2,4.5,6,3
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc145-qc704.tfc,145,134,1.0820895522388059,2,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc73-qc740.tfc,73,69,1.0579710144927537,2,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc79-qc712.tfc,79,63,1.253968253968254,3,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc1834-qc5914.tfc,1834,1753,1.0462065031374785,3,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc415-qc47649.tfc,415,375,1.1066666666666667,3,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/mod_4mod5-n5-gc4-qc13.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/mod_5mod5-n6-gc7-qc429.tfc,7,1,7.0,7,7
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/nth_prime09_inc-n10-gc2234-qc22181.tfc,2234,2180,1.0247706422018348,2,1
./temporarios/tfcs_reais/zakablukov/with-negative-control-lines/sorted/nth_prime10_inc-n11-gc5207-qc50152.tfc,5207,5097,1.0215813223464782,2,1
