Nome TFC,Qtd. Portas,Qtd. Subcircuitos,Tamanho Médio das Janelas,Maior Janela,Menor Janela
./temporarios/tfcs_reais/edinelco/s1/S1-MMD04.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-MMD05_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-MMD05.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-MMD07_inv.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-MMD07.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-mod5adder_inv.tfc,23,20,1.15,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-mod5adder.tfc,21,15,1.4,4,1
./temporarios/tfcs_reais/edinelco/s1/S1-mod5mils_complete_26(18)_inv.tfc,3,2,1.5,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-mod5mils_complete_26(18).tfc,5,2,2.5,4,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime3_inc_inv.tfc,5,3,1.6666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime3_inc.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime4_inc_inv.tfc,14,12,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime4_inc.tfc,13,12,1.0833333333333333,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime5_inc_inv.tfc,44,42,1.0476190476190477,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime5_inc.tfc,50,47,1.0638297872340425,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime6_inc_inv.tfc,135,121,1.115702479338843,3,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime6_inc.tfc,79,74,1.0675675675675675,3,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime7_inc_inv.tfc,305,274,1.1131386861313868,3,1
./temporarios/tfcs_reais/edinelco/s1/S1-nth_prime7_inc.tfc,231,217,1.064516129032258,3,1
./temporarios/tfcs_reais/edinelco/s1/S1-quali_inv_inv.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-quali_inv.tfc,5,4,1.25,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-quali.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-RCFK_inv.tfc,8,8,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-RCFK.tfc,8,7,1.1428571428571428,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-RFMK1_inv_inv.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-RFMK1_inv.tfc,5,4,1.25,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-RFMK1.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-RFMK2_inv.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-RFMK2.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-RFMK3_inv.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-RFMK3.tfc,4,3,1.3333333333333333,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-Saeedi07_inv.tfc,2,2,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-Saeedi07.tfc,2,2,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-toffoli_1.tfc,1,1,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-toffoli_double_2.tfc,2,1,2.0,2,2
./temporarios/tfcs_reais/edinelco/s1/S1-ZLZPZ_inv.tfc,8,8,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ZLZPZ.tfc,8,8,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-2quali_inv_inv.tfc,6,6,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-2quali_inv.tfc,7,6,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-2quali.tfc,6,6,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-3_17_inv.tfc,6,5,1.2,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-3_17.tfc,6,5,1.2,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4_49_inv.tfc,13,12,1.0833333333333333,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4_49.tfc,14,12,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_1_inv.tfc,18,17,1.0588235294117647,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_1.tfc,19,17,1.1176470588235294,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_2_inv.tfc,24,22,1.0909090909090908,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_2.tfc,22,21,1.0476190476190477,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_3_inv.tfc,21,19,1.105263157894737,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_3.tfc,18,18,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_4_inv.tfc,23,21,1.0952380952380953,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_4.tfc,23,23,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_5_inv.tfc,18,14,1.2857142857142858,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-4b15g_5.tfc,18,14,1.2857142857142858,3,1
./temporarios/tfcs_reais/edinelco/s2/S2-aj-e11_complete_74(81)_inv.tfc,9,8,1.125,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-aj-e11_complete_74(81).tfc,11,9,1.2222222222222223,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-CGWZ_inv.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-CGWZ.tfc,6,6,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-DKMFR_inv.tfc,8,7,1.1428571428571428,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-DKMFR.tfc,8,7,1.1428571428571428,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-ED19_inv_inv.tfc,5,4,1.25,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-ED19_inv.tfc,7,5,1.4,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-ED19.tfc,5,4,1.25,2,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex-1_82_inv.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex-1_82.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex1Miller.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex2Miller.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex3Miller.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex4Miller_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex4Miller.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex5Miller_inv.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s2/S2-ex5Miller.tfc,4,4,1.0,1,1
