Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,43,463,0,0,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11761,347433,64,304,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11821,347749,4,-12,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11761,347689,64,48,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11759,347687,66,50,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,12,96,2,2,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,14,98,0,0,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,12,96,2,2,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc14-qc84.tfc,14,98,12,96,2,2,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,11,111,8,8,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,18,120,1,-1,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,12,188,7,-69,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/rd53d1-n7-gc19-qc104.tfc,19,119,12,116,7,3,novo-antigo
